sample_id,event_date,state,latitude,longitude,rainfall_1d,rainfall_3d,rainfall_7d,elevation_m,slope_degrees,soil_moisture,target
78,2007-05-23 00:00:00,Sikkim,27.3383,88.6069,0.0,5.464999914169312,22.55999881029129,1516.77734375,19.360199096868914,,1
126,2007-07-16 00:00:00,Sikkim,27.1499,88.38,45.55499267578125,103.56499099731444,196.07998752593997,1099.262939453125,30.18097709817815,0.2627215087413788,1
130,2007-07-19 00:00:00,Assam,26.1699,91.7986,23.09999656677246,51.06499671936035,233.67501068115237,151.2103271484375,5.2015992271954135,0.3564818501472473,1
141,2007-07-26 00:00:00,Meghalaya,25.38,91.88,86.05997467041016,394.864990234375,426.40499091148376,1300.3878173828125,31.735341323469584,0.3943720757961273,1
142,2007-07-27 00:00:00,Meghalaya,25.5212,90.232,79.05500030517578,181.39500045776367,208.734999537468,556.1650390625,17.806767154958393,0.3738286197185516,1
148,2007-07-30 00:00:00,Mizoram,22.479,92.967,3.5199999809265137,12.550000933930278,69.7449949067086,471.984375,25.05957885780663,0.3652327358722687,1
147,2007-07-30 00:00:00,Mizoram,22.533,92.899,2.804999828338623,34.610000133514404,103.28500604629517,821.9502563476562,13.97850370910717,0.3627379238605499,1
211,2007-08-26 00:00:00,Manipur,24.9667,93.55,16.520000457763672,47.32500052452088,72.68999949097633,569.6266479492188,16.61926937921548,0.4132843315601349,1
213,2007-08-26 00:00:00,Assam,25.2946,92.8339,19.30499839782715,95.0149974822998,128.90999794006348,886.52490234375,11.395997162648298,0.3801969885826111,1
212,2007-08-26 00:00:00,Meghalaya,25.5576,91.8506,17.51500129699707,37.68999981880188,122.62500557303429,1679.0869140625,4.810940947323068,0.315441220998764,1
215,2007-08-28 00:00:00,Nagaland,25.7428,93.9136,7.019999504089356,56.659993171691895,70.05999255180359,481.2063598632813,20.77145132796881,0.4197275042533874,1
220,2007-08-31 00:00:00,Manipur,25.1333,93.9667,2.515000343322754,67.30500316619873,153.53999376296997,1008.8310546875,1.880384025185741,0.3931151628494262,1
247,2007-09-08 00:00:00,Manipur,25.0604,93.9877,35.2349967956543,95.8699951171875,160.669990837574,1545.535400390625,27.26820588020968,,1
251,2007-09-09 00:00:00,Sikkim,27.1667,88.35,5.889999866485596,37.65499830245972,180.3599877357483,1156.617431640625,26.94251068834416,0.3588764667510986,1
252,2007-09-09 00:00:00,Nagaland,25.4993,94.1192,5.614999294281006,26.309999465942383,123.85999870300292,1943.063720703125,18.98674122236766,,1
255,2007-09-10 00:00:00,Manipur,24.2451,94.0691,9.40000057220459,22.830000162124637,157.09500193595886,1281.67626953125,32.104217182292444,,1
256,2007-09-10 00:00:00,Sikkim,27.3425,88.6236,8.464999198913574,23.544997215271,132.42499446868896,2068.423583984375,26.484844152060088,,1
259,2007-09-11 00:00:00,Meghalaya,25.52,91.27,0.4650000035762787,71.74000796675682,519.5600019395351,1340.175537109375,5.257185602091339,0.3111144006252289,1
258,2007-09-11 00:00:00,Manipur,24.4279,94.0564,3.274999618530273,6.649999499320984,129.39498031139374,898.5164184570312,8.732480634532761,0.3736606538295746,1
264,2007-09-13 00:00:00,Assam,26.1833,91.8,1.559999942779541,5.424999356269836,208.0549842119217,67.15460205078125,1.1887229108403945,0.3585757911205292,1
269,2007-09-18 00:00:00,Sikkim,27.2872,88.2816,27.045001983642575,29.935001730918884,96.67500817775726,574.5270385742188,10.428558412946954,,1
285,2007-09-29 00:00:00,Mizoram,24.1293,92.6921,13.450000762939451,82.544997215271,93.33999741077425,824.6757202148438,5.676001634820684,0.3363637030124664,1
313,2007-10-16 00:00:00,Nagaland,25.7055,94.0132,22.920001983642575,71.4749984741211,92.2949974834919,1463.825439453125,15.417319476057404,,1
319,2007-10-19 00:00:00,Nagaland,25.4379,94.1162,1.9049997329711916,6.69499933719635,96.2600017786026,1487.4071044921875,21.1686910311665,,1
322,2007-10-21 00:00:00,Assam,24.75,93.4333,0.0350000001490116,4.765000019222498,91.83000007644296,461.7928161621094,27.24745637617811,,1
545,2008-05-20 00:00:00,Assam,24.9849,92.8411,9.045000076293944,46.09500074386597,50.37000048160553,252.4522857666016,8.918893271704816,0.2705793082714081,1
580,2008-06-09 00:00:00,Manipur,24.6596,93.9784,0.8799999952316284,46.41500127315521,54.87000085413456,777.2774658203125,0.3282865201765934,0.3447947800159454,1
585,2008-06-14 00:00:00,Arunachal Pradesh,27.0998,93.6287,73.52999114990234,254.6999969482422,407.9200077056885,401.5107116699219,6.592341315668957,0.2627376616001129,1
587,2008-06-15 00:00:00,Assam,27.2298,94.0989,3.09000015258789,188.4599952697754,249.85999941825867,95.5310516357422,0.0550720840878903,0.3244253993034363,1
594,2008-06-19 00:00:00,Manipur,24.9336,93.8275,3.3499999046325684,19.069998741149902,83.6749997138977,1024.45947265625,14.10698097424295,0.4611769616603851,1
692,2008-08-07 00:00:00,Nagaland,25.705,94.04,8.919999122619629,22.429998874664307,74.97999715805054,1039.6583251953125,16.149905062844596,,1
714,2008-08-14 00:00:00,Assam,27.163,94.0,17.559999465942383,81.8999981880188,190.39499497413635,95.3716278076172,0.7655195570100437,0.319918692111969,1
731,2008-08-19 00:00:00,Nagaland,26.138,94.25,3.865000247955322,71.0149941444397,121.90499353408812,1021.4805908203124,15.10896832627797,,1
755,2008-08-28 00:00:00,Sikkim,27.337,88.609,14.920000076293944,45.10000038146973,102.51999568939208,1540.588623046875,19.78191351592184,,1
760,2008-08-29 00:00:00,Nagaland,25.67,94.1066,9.829998970031738,15.429998874664308,36.48499846458435,1443.349365234375,10.865692808499212,,1
868,2008-10-29 00:00:00,Assam,26.3333,91.25,0.0,45.2549934387207,83.28499460220337,41.51915740966797,0.334073141148896,0.2754361927509308,1
870,2008-10-29 00:00:00,Arunachal Pradesh,27.4,92.35,0.6749999523162842,80.8549947142601,121.6399946808815,2629.237060546875,20.062893270888896,,1
869,2008-10-29 00:00:00,Assam,27.2333,94.1167,0.0,20.255001907236878,63.035001401789486,90.57893371582033,0.9820588842061856,0.3115513622760772,1
1084,2009-08-12 00:00:00,Arunachal Pradesh,27.7,92.8,122.2800064086914,140.67500638961792,159.9150047302246,2453.18310546875,15.794883848102398,0.3885011374950409,1
1108,2009-08-20 00:00:00,Assam,24.9925,93.5,1.630000114440918,9.619999647140505,77.2799985408783,1216.565185546875,8.099323340777282,0.4195238947868347,1
1112,2009-08-20 00:00:00,Sikkim,27.1761,88.5287,25.66500473022461,199.69000244140625,322.2799916267395,298.3282775878906,8.021441326347158,,1
1109,2009-08-20 00:00:00,Assam,25.5215,93.1645,14.96999740600586,35.44999694824219,66.52999591827393,278.50848388671875,1.9805417661970912,0.2899594902992248,1
1125,2009-08-26 00:00:00,Sikkim,27.3746,88.7648,5.550000190734863,52.479997634887695,134.40499114990234,3751.0,2.964492015694258,0.3076637685298919,1
1127,2009-08-27 00:00:00,Assam,25.1718,93.123,3.4649996757507324,19.94499921798706,49.27999711036682,727.5643920898438,12.11367837461963,0.3628802895545959,1
1129,2009-08-30 00:00:00,Manipur,24.8628,94.4182,2.509999990463257,51.29999814927578,76.85499809682369,889.1970825195312,29.218806910259463,0.4217416644096374,1
1168,2009-09-17 00:00:00,Sikkim,27.1954,88.6115,23.149995803833008,31.18499565124512,44.69499588012695,471.149169921875,6.030271458065739,0.2810994982719421,1
1222,2009-10-05 00:00:00,Mizoram,23.73478778,92.72124394,17.784996032714844,69.6349983215332,75.04999828338623,971.9013061523438,24.99929664830969,0.3672701120376587,1
1596,2010-03-27 20:00:00,Manipur,24.7339,93.9161,1.5900001525878906,1.5900001525878906,2.325000121258199,886.3097534179688,13.375034093361798,0.15738445520401,1
1611,2010-04-01 00:00:00,Assam,25.1553,93.028,7.579998970031738,174.22000980377197,316.20001006126404,591.91650390625,18.577434135552867,0.3198599815368652,1
1613,2010-04-02 23:00:00,Arunachal Pradesh,27.8997,93.3497,3.2199997901916504,11.419999718666077,45.099998116493225,879.9609375,6.837728029891674,0.2627540528774261,1
1756,2010-04-17 00:00:00,Sikkim,27.322,88.6087,9.739999771118164,15.31999945640564,31.034997701644897,1496.3751220703125,28.72953248194143,,1
1755,2010-04-17 15:00:00,Sikkim,27.3341,88.6083,9.739999771118164,15.31999945640564,31.034997701644897,1451.62548828125,20.463659219841265,,1
1770,2010-04-20 00:00:00,Assam,26.1965,91.763,126.22000122070312,213.7200126647949,382.0100059509277,90.6394500732422,4.036576653750398,0.3383989334106445,1
1771,2010-04-20 00:00:00,Assam,26.1978,91.7665,126.22000122070312,213.7200126647949,382.0100059509277,77.6644515991211,9.844405038650986,0.3383989334106445,1
