event_id,event_date,state,latitude,longitude,elevation_m,slope_degrees,dem_tile
78,2007-05-23 00:00:00,Sikkim,27.3383,88.6069,1516.77734375,19.360199096868914,Copernicus_DSM_COG_30_N27_00_E088_00_DEM.tif
126,2007-07-16 00:00:00,Sikkim,27.1499,88.38,1099.262939453125,30.18097709817815,Copernicus_DSM_COG_30_N27_00_E088_00_DEM.tif
130,2007-07-19 00:00:00,Assam,26.1699,91.7986,151.2103271484375,5.2015992271954135,Copernicus_DSM_COG_30_N26_00_E091_00_DEM.tif
141,2007-07-26 00:00:00,Meghalaya,25.38,91.88,1300.3878173828125,31.735341323469584,Copernicus_DSM_COG_30_N25_00_E091_00_DEM.tif
142,2007-07-27 00:00:00,Meghalaya,25.5212,90.232,556.1650390625,17.806767154958393,Copernicus_DSM_COG_30_N25_00_E090_00_DEM.tif
148,2007-07-30 00:00:00,Mizoram,22.479,92.967,471.984375,25.05957885780663,Copernicus_DSM_COG_30_N22_00_E092_00_DEM.tif
147,2007-07-30 00:00:00,Mizoram,22.533,92.899,821.9502563476562,13.97850370910717,Copernicus_DSM_COG_30_N22_00_E092_00_DEM.tif
211,2007-08-26 00:00:00,Manipur,24.9667,93.55,569.6266479492188,16.61926937921548,Copernicus_DSM_COG_30_N24_00_E093_00_DEM.tif
213,2007-08-26 00:00:00,Assam,25.2946,92.8339,886.52490234375,11.395997162648298,Copernicus_DSM_COG_30_N25_00_E092_00_DEM.tif
212,2007-08-26 00:00:00,Meghalaya,25.5576,91.8506,1679.0869140625,4.810940947323068,Copernicus_DSM_COG_30_N25_00_E091_00_DEM.tif
215,2007-08-28 00:00:00,Nagaland,25.7428,93.9136,481.2063598632813,20.77145132796881,Copernicus_DSM_COG_30_N25_00_E093_00_DEM.tif
220,2007-08-31 00:00:00,Manipur,25.1333,93.9667,1008.8310546875,1.880384025185741,Copernicus_DSM_COG_30_N25_00_E093_00_DEM.tif
247,2007-09-08 00:00:00,Manipur,25.0604,93.9877,1545.535400390625,27.26820588020968,Copernicus_DSM_COG_30_N25_00_E093_00_DEM.tif
251,2007-09-09 00:00:00,Sikkim,27.1667,88.35,1156.617431640625,26.94251068834416,Copernicus_DSM_COG_30_N27_00_E088_00_DEM.tif
252,2007-09-09 00:00:00,Nagaland,25.4993,94.1192,1943.063720703125,18.98674122236766,Copernicus_DSM_COG_30_N25_00_E094_00_DEM.tif
255,2007-09-10 00:00:00,Manipur,24.2451,94.0691,1281.67626953125,32.104217182292444,Copernicus_DSM_COG_30_N24_00_E094_00_DEM.tif
256,2007-09-10 00:00:00,Sikkim,27.3425,88.6236,2068.423583984375,26.484844152060088,Copernicus_DSM_COG_30_N27_00_E088_00_DEM.tif
259,2007-09-11 00:00:00,Meghalaya,25.52,91.27,1340.175537109375,5.257185602091339,Copernicus_DSM_COG_30_N25_00_E091_00_DEM.tif
